Estado / Canal,Ciudad,coordenadas,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
TLAXCALA                 ,NATIVITAS      ,"19.2330657,-98.3170632,20.5",1614,1989000,1598000,1253000,1191000,1380000,1369000,1157000,1227000,928000,1117000,1118000,1110000
HIDALGO                  ,TLAHUELILPAN   ,"20.1316839,-99.2305446,21",1615,8151000,6122000,5085000,4934000,5286000,5074000,4680000,5032000,4133000,4578000,4303000,5316000
GUERRERO                 ,HUITZUCO       ,"18.3334743,-99.5404373,20.5",1616,8916000,6548000,5875000,5370000,6059000,7027000,4823000,5839000,5455000,5943000,5296000,6806000
CHIHUAHUA                ,MEOQUI         ,"28.2682904,-105.5006708,14",1617,7068000,4040000,3317000,3132000,3432000,3614000,3488000,3582000,2921000,2610000,2251000,1891000
GUANAJUATO               ,LEON           ,"21.1031792,-101.8014984,12.29",1618,5449000,3833000,3110000,2733000,3235000,2906000,3077000,3492000,2639000,2637000,2094000,3116000
YUCATAN                  ,TEKAX          ,"20.2061615,-89.2987011,19",1619,14756000,10160000,7030000,7018000,7815000,7522000,7401000,7902000,6779000,7338000,7401000,6982000
OAXACA                   ,OAXACA         ,"17.1221373,-96.7657869,18",1620,7296000,6160000,5224000,5003000,5374000,4859000,4930000,5850000,4993000,5598000,5016000,6475000
DISTRITO FEDERAL         ,COYOACAN       ,"19.3050276,-99.2255955,13",1621,28532000,21710000,16068000,15613000,18594000,18135000,15747000,21366000,17993000,17173000,17604000,21552000
NUEVO LEON               ,SANTA CATARINA ,"25.6881375,-100.5286896,14",1622,8516000,4053000,3351000,3074000,3788000,3808000,3400000,4071000,3026000,2957000,2497000,2175000
JALISCO                  ,ZAPOPAN        ,"20.6626674,-103.4429365,14",1623,6504000,3615000,2362000,2289000,2715000,2169000,1958000,1874000,1249000,16000,0,0
VERACRUZ                 ,XALAPA         ,"19.5283108,-96.9196008,13.75",1624,6824000,4749000,3931000,3972000,4534000,4366000,4071000,4925000,4728000,4285000,4063000,5003000
JALISCO                  ,GUADALAJARA    ,"20.6878941,-103.2994114,17",1625,7417000,3879000,3681000,2950000,3654000,3264000,3048000,3285000,2618000,2848000,2320000,2119000
BAJA CALIFORNIA SUR      ,LA PAZ         ,"24.0885266,-110.4195383,12.17",1626,25433000,12995000,10386000,9500000,10423000,10239000,8447000,9889000,9328000,8309000,7946000,6847000
MICHOACAN                ,PUREPERO       ,"19.8900235,-102.3409405,10",1627,5043000,4427000,3045000,2552000,2625000,2638000,3029000,2574000,2435000,0,0,0
NUEVO LEON               ,MONTERREY      ,"25.7250564,-100.2209295,17",1628,1973000,1062000,857000,821000,1039000,985000,978000,908000,784000,826000,654000,606000
MICHOACAN                ,SAHUAYO        ,"20.0317238,-102.8002719,12.5",1629,8889000,7547000,5327000,5395000,5771000,5424000,5326000,6435000,4973000,5205000,4497000,6530000
VERACRUZ                 ,TIHUATLAN      ,"20.7116433,-97.9420645,10",1630,8777000,6469000,4521000,4207000,4735000,5497000,4733000,5708000,4644000,5003000,4525000,0
SINALOA                  ,CULIACAN       ,"24.8011882,-107.3530905,15.75",1631,10311000,6244000,5404000,4892000,5826000,5339000,5352000,5783000,5259000,4766000,4315000,3414000
ESTADO DE MEXICO         ,CHALCO         ,"19.2647451,-98.9263146,13.75",1632,1603000,1070000,1025000,914000,969000,1014000,890000,960000,749000,926000,730000,866000
COLIMA                   ,COLIMA         ,"19.2531147,-103.7202706,20",1633,8250000,4859000,4192000,3756000,3832000,4064000,3989000,4221000,3408000,3859000,3282000,3476000
NAYARIT                  ,LA PE#ITA DE JA,"21.0285296,-105.2591185,20",1634,10699000,7222000,4914000,4391000,5670000,5364000,5133000,5915000,5648000,5771000,919000,0
GUERRERO                 ,ACAPULCO       ,"16.8603241,-99.8741026,19.54",1635,14245000,10396000,8678000,7638000,9472000,8711000,7659000,8694000,8043000,8373000,7127000,7585000
DISTRITO FEDERAL         ,VENUSTIANO CARR,"19.4389058,-99.0967729,17",1636,13095000,9725000,7841000,6745000,8338000,7430000,6222000,7611000,6676000,6198000,5559000,6750000
ESTADO DE MEXICO         ,CALIMAYA       ,"19.1524782,-99.6681726,14",1637,1610000,1511000,1389000,1213000,1625000,1162000,1102000,1295000,1227000,238000,0,0
GUERRERO                 ,TELOLOAPAN     ,"18.3595397,-99.8721984,20.29",1638,715000,1843000,909000,758000,1159000,992000,791000,929000,633000,1422000,947000,1067000
TAMAULIPAS               ,GONZALEZ       ,"22.827115,-98.4267305,21",1639,12999000,7710000,5465000,5473000,5906000,5740000,5509000,6440000,5765000,6738000,1370000,0
TLAXCALA                 ,TLAXCO         ,"19.6152974,-98.1220164,19.25",1640,3264000,0,0,0,0,0,0,0,0,0,0,0
JALISCO                  ,AYOTLAN        ,"20.5273125,-102.3334922,17",1641,5983000,0,0,0,0,0,0,0,0,0,0,0
VERACRUZ                 ,MISANTLA       ,"19.926952,-96.8543002,20",1642,729000,0,0,0,0,0,0,0,0,0,0,0
GUANAJUATO               ,LEON           ,"21.0923632,-101.6622555,14",1643,3061000,1870000,1537000,1387000,1658000,1527000,1511000,1520000,1216000,1157000,1067000,1217000
