Estado / Canal,Ciudad,latitud,longitud,Tienda,dic-22,nov-22,oct-22,sep-22,ago-22,jul-22,jun-22,may-22,abr-22,mar-22,feb-22,ene-22
PUEBLA                   ,PUEBLA         ,19.5410091,-99.2375196,1303,24099.72,24099.72,21147.73,21977.03,23126.39,23856.72,21147.73,22247.99,22090.65,20990.39,20990.39,24348.8524
ESTADO DE MEXICO         ,LOS REYES LA PA,19.2800847,-98.9707744,1304,24170.77,24168.96,29161.9173,25396.25,25396.25,23842.28,29161.9173,25235.85,25007.05,23600.25,22920.56,26854.29
MORELOS                  ,CUAUTLA        ,20.0945135,-98.7587921,1305,26187.9045,26186.0945,25924.5545,20953.65,27377.5545,26089.1045,25924.5545,27868.9545,28157.5545,27913.5545,27913.5545,32379.72322
DISTRITO FEDERAL         ,COYOACAN       ,19.5617948,-99.2957214,1306,29292.58,29292.58,26340.59,24650.79,24553.59,28819.89,26340.59,25044.99,25333.59,25089.59,24859.9,29103.9244
ESTADO DE MEXICO         ,COACALCO DE BER,19.648616,-99.2275823,1307,29103.58,29103.58,26151.59,27604.59,26607.45,28630.89,26151.59,24407.85,24600.25,24356.25,24126.56,28253.25
DISTRITO FEDERAL         ,AZCAPOTZALCO   ,20.1154453,-98.7457425,1308,18985.02,18985.02,17532.02,18988.07,18994.17,18081.29,17532.02,20004.41,20578.56,16370.32,15345.73,17934.5744
ESTADO DE MEXICO         ,ECATEPEC DE MOR,19.4820177,-99.2869127,1309,24011.6873,24011.6873,22558.6873,24011.6873,12862.94,23768.6873,22558.6873,11580.44,9852.14,9608.14,9608.14,11145.4424
HIDALGO                  ,TULANCINGO     ,19.4728222,-99.2813422,1310,27424.13,27424.13,24472.14,25925.14,27260.8,27181.13,24472.14,25256,25640.8,25396.8,25396.8,29460.288
ESTADO DE MEXICO         ,ATLACOMULCO    ,19.4058067,-99.2033109,1311,24612.07,24610.26,27616.2273,23850.56,23850.56,24513.27,27616.2273,24178.16,23200.74,22920.56,22920.56,26587.8496
ESTADO DE MEXICO         ,TLALNEPANTLA DE,19.5540477,-99.0777098,1312,25499.84,25498.32,22552.43,23926.43,22904.99,25025.63,22552.43,23237.16,23426.51,23184.04,22951.3,26861.7604
ESTADO DE MEXICO         ,CHALCO         ,19.5057521,-99.222612,1313,30615.06,30615.06,27663.07,27010.07,27211.73,30372.06,27663.07,27630.23,25561.73,25317.73,25317.73,29368.5668
HIDALGO                  ,PACHUCA        ,19.3056757,-99.1981297,1314,25056.63,25055.1,22103.11,23554.59,24890.25,24580.89,22103.11,24407.85,24606.35,24362.35,24126.56,28281.5424
ESTADO DE MEXICO         ,ATIZAPAN D ZARA,19.3819981,-99.1683372,1315,22928.9,22928.9,21475.9,22928.9,24264.56,22685.9,21475.9,24592.16,24784.56,23980.4,22920.56,26587.8496
ESTADO DE MEXICO         ,IXTAPALUCA     ,21.1164424,-101.7057869,1316,764,764,520,520,520,521,520,1639.8,2387,2387,2387,2768.92
ESTADO DE MEXICO         ,CUAUTITLAN IZCA,20.3953234,-100.0124852,1317,26043.07,26041.26,29047.2273,25281.56,25281.56,26146.452,29047.2273,25772.96,26061.56,24530.2,23387.56,27129.5696
HIDALGO                  ,PACHUCA        ,18.5460192,-99.6065297,1318,23535.15,23533.34,28038.2973,24272.63,24272.63,23638.532,28038.2973,23790.23,23982.63,23738.63,23738.63,27536.8108
ESTADO DE MEXICO         ,NAUCALPAN      ,28.7289517,-106.292706,1319,23829.76,23829.76,22376.76,23586.76,22735.42,23357.07,22376.76,23063.02,23255.42,23011.42,22781.73,26693.2472
ESTADO DE MEXICO         ,NAUCALPAN      ,18.2710861,-98.9547157,1320,26705.35,26703.54,29709.5073,25052.84,24323.84,26808.732,29709.5073,24651.44,24843.84,24599.84,24599.84,28535.8144
DISTRITO FEDERAL         ,MIGUEL HIDALGO ,19.7028671,-98.9216092,1321,27312.58,27312.58,25580.59,27033.59,28372.3,26839.89,25580.59,27476.85,27669.25,24738.93,22920.56,26854.29
ESTADO DE MEXICO         ,ECATEPEC DE MOR,20.9358875,-89.5655322,1322,26650.89,26650.89,23698.9,25151.9,24608.36,26407.89,23698.9,23411.36,23296.96,22453.56,22453.56,26046.1296
DISTRITO FEDERAL         ,GUSTAVO A MADER,19.5543409,-99.3400311,1323,24346.36,24346.36,22893.36,24200.56,23252.02,23873.67,22893.36,23579.62,23772.02,22437.94,21678.33,25294.2988
DISTRITO FEDERAL         ,COYOACAN       ,25.9890516,-98.1112498,1324,30342.86,30341.05,34846.0073,31080.34,31080.34,30014.37,34846.0073,31407.94,36850.41,36606.41,24126.56,28253.25
DISTRITO FEDERAL         ,IZTAPALAPA     ,19.5432562,-103.5599705,1325,36987.9,36987.9,35534.9,36987.9,36987.9,36744.9,35534.9,36023.1,34723.1,32923.9,32923.9,38191.724
GUANAJUATO               ,LEON           ,29.0368586,-110.946121,1326,24134.9,24134.9,22681.9,24134.9,24134.9,23891.9,22681.9,22842.5,23034.9,22790.9,22790.9,26437.444
QUERETARO                ,SN JUAN DEL RIO,25.6670632,-100.3036308,1327,27186.77,27184.96,31689.9173,27924.25,27924.25,26968.174,31689.9173,25821.85,25755.05,24150.25,23920.56,28014.29
GUERRERO                 ,TAXCO          ,19.2800847,-98.9707744,1328,31850.1745,31848.3645,31586.8245,23797.12,28179.8245,31751.3745,31586.8245,27810.8245,27079.8245,26835.8245,26835.8245,31129.55642
CHIHUAHUA                ,CHIHUAHUA      ,22.9050536,-109.9385735,1329,17617.29,17617.29,16164.29,17617.29,18808.75,17374.29,16164.29,18972.55,19068.75,18279.71,18014.75,20897.11
PUEBLA                   ,TEHUITZINGO    ,24.8399225,-107.3981157,1330,19988.98,19988.98,18535.98,19988.98,19988.98,19745.98,18535.98,20152.78,20248.98,20004.98,20004.98,23205.7768
ESTADO DE MEXICO         ,OTUMBA         ,17.2082877,-100.6298793,1331,29985.59,29985.59,28532.59,29985.59,28260.29,29512.9,28532.59,28210.79,28595.59,28357.21,28121.9,32887.8444
YUCATAN                  ,KANASIN        ,19.834442,-97.4647046,1332,14407.35,14407.35,12954.35,14261.55,11977.35,13893.46,12954.35,12304.95,12497.35,11279.19,10362.46,12336.8552
ESTADO DE MEXICO         ,ATIZAPAN D ZARA,19.059275,-98.2503802,1333,21867.94,21867.94,20414.94,21867.94,23203.6,21280.97,20414.94,23367.4,23463.6,22939.52,22065.63,25995.136
TAMAULIPAS               ,RIO BRAVO      ,19.1048723,-97.5292004,1334,9887.19,9887.19,8434.19,9887.19,9887.19,9644.19,8434.19,9447.99,9544.19,9300.19,9300.19,10788.2204
JALISCO                  ,TECALITLAN     ,21.4180627,-98.9849119,1335,22493.63,22493.63,21040.63,22495.15,23829.29,22020.94,21040.63,23390.09,23501.53,23242.29,23012.6,26976.9716
SONORA                   ,HERMOSILLO     ,19.3223539,-99.0038609,1336,18005.22,19887.89,16552.22,18005.22,19196.68,19261.21,16552.22,19360.48,18696.36,18402.68,18402.68,21347.1088
NUEVO LEON               ,GUADALUPE      ,17.0688508,-96.7388981,1337,11068.0745,11068.0745,9615.0745,4644.17,11068.0745,10825.0745,9615.0745,11231.8745,11117.4745,10274.0745,10274.0745,11917.92642
ESTADO DE MEXICO         ,CHALCO         ,19.7780241,-98.5691829,1338,10005.98,10005.98,8552.98,10005.98,10005.98,9533.29,8552.98,8988.98,8905.98,8663.5,8432.29,10049.66
BAJA CALIFORNIA SUR      ,CABO SAN LUCAS ,30.0782487,-112.1705964,1339,34970.51,34970.51,34352.9229,30919.63,40014.8545,21280.97,34352.9229,39635.9545,39464.8545,39220.8545,38991.1645,60048.70122
SINALOA                  ,CULIACAN       ,25.6786427,-100.5389519,1340,4877.24,4894.48,3376.92,4829.9,4829.92,4357.21,3376.92,4483.4,4281.44,4035.9,3806.23,4681.644
